name,free_returns,items_sold,price,shipping,status
*RARE* Adidas Tango® Espana | OMB | FIFA World Cup 1982 *Genuine Leather*,True,0,4700,3800,Brand New
Official Match FIFA Voit Soccer Ball Nova Liga Bancomer MX Apertura 2018,True,,5400,0,Brand New
New ListingHedstrom Paw Patrol Jr. Soccer Ball 7 Inch 53-63884AZ,True,,1490,0,Brand New
Spain Football League Official Match Ball LFP Nike Total 90 Aerow Fifa,True,,12950,1200,Pre-Owned
Adidas NATIVO MLS 2021 Soccer Match Ball Replica Club Red Size 3 NEW,True,0,1899,0,Brand New
Adidas  OLP 2013 Capitano Germany Ball ,True,,2700,0,Pre-Owned
Adidas TIRO LEAGUE TB soccer Ball / Size 5  pink blue and white,True,,2795,1175,Pre-Owned
New ListingUmbro Tristar Soccer Ball Size 4 Pink Purple Ages 8-12. New ,True,,1999,1260,Brand New
Icon Sports Cruz Azul Soccer Ball Officially Licensed Size 5 01-2,True,,1999,0,Brand New
SOCCER BALL FIFA WORLD CUP FULL SIZE FLAGS OFFICIAL SIZE 2  Mini Soccer Ball,True,,999,0,Brand New
Nike Flight 22 Copa Libertadores MATCH Soccer Ball DM1647-100 SZ 5 ACC Conmebol,True,0,10895,0,Brand New
New ListingNike Premier League Academy Yellow Size 5 Sportswear Football Outdoor Training,True,,4182,1029,Brand New
Nike Aerowsculpt Academy Fifa Quality ProTeam Soccer Ball Size 5,True,,4999,0,Brand New
El Salvador Soccer Ball Soccer Ball Official Size 5 ,True,,1899,0,Brand New
Senda Rio Fair Trade Futsal Ball,True,,3500,0,Brand New
nike strike soccer ball size 5 DC2376-710 NWT,True,,4500,0,Brand New
Voit Liga MX Official Match Ball Clausura 2021 - White-Orange fifa approved,True,,4700,0,Brand New
Nike Academy Soccer Ball  White/Total Orange/Black  Size - 5 / DN3599 - 102,True,,3999,1060,Brand New
Power Club 2.0 Ball,True,,3499,0,Brand New
Voit 100 Official Match Ball Liga MX Apertura 2022 Size 5 Gold/White,True,0,8999,0,Brand New
